ID,species_code,family,genus,species,scientific_name,scientific_code,native-range,5E-1,5E-3,5E-4,5E-5,5E-6,5E-7,5E-8,5E-9,5E-10,5E-11,5E-13,6E-7,6E-8,6E-9,6E-10,6E-11,6E-12,6E-13,6E-14,6E-15,6E-16,6E-17,7E-1,7E-2,7E-3,7E-4,7E-5,7E-6
61,coramu,Rutaceae,Phellodendron,Amur Corktree,Phellodendron amurense,phelamur,"China, Japan",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
62,coteas,Salicaceae,Poplar,Eastern Cottonwood,Populus deltoides,popudelt,"Central U.S.A., South Eastern Border of Canada",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,native,introduced,native,native,introduced,native,introduced,introduced,native,native,native,native,native,native
64,crajap,Rosaceae,Apple/Crabapple,Japanese Crabapple(s),Malus x floribunda,maluxflor,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
65,crawil,Rosaceae,Apple/Crabapple,Wild Crab,Malus coronaria,malucoro,"Southern Ontario, Eastern U.S.A.",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,native,native,native
66,cucumb,Magnoliaceae,Magnolia,Cucumber Tree,Magnolia acuminata,magnacum,North America,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,introduced,native,introduced
68,devils,Araliaceae,Walkingstick,Devils-walkingstick,Aralia spinosa,aralspin,South Eastern U.S.A.,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
69,dogalt,Cornaceae,Dogwood,Alternate-Leaf Dogwood,Cornus alternifolia,cornalte,North-Eastern US,native,native,native,native,introduced,native,introduced,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
70,dogchi,Cornaceae,Dogwood,Chinese Dogwood,Cornus kousa,cornkous,Eastern Asia,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
289,dogcor,Cornaceae,Dogwood,Cornelian cherry dogwood,Cornus mas,cornmas,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
71,dogflo,Cornaceae,Dogwood,Eastern Flowering Dogwood,Cornus florida,cornflor,"Southern Ontario, Eastern U.S.A.",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,native,native,native
72,doggra,Cornaceae,Dogwood,Gray Dogwood,Cornus racemosa,cornrace,"Southern Ontario, Eastern U.S.A.",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,native,native,native,native,native,native,native,introduced,native,native,introduced,native,native,native,native,native,native
313,dogred,Cornaceae,Dogwood,Red Osier Dogwood,Cornus stolonifera,cornstol,"Southern Ontario, Eastern U.S.A.",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
76,elmame,Ulmaceae,Elm,American Elm,Ulmus americana,ulmuamer,Eastern North America,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
77,elmcam,Ulmaceae,Elm,Camperdown Elm,Ulmus x vegata,ulmuxveg,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
314,elmchi,Ulmaceae,Elm,Chinese Elm,Ulmus parvifolia,ulmuparv,Asia,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
78,elmdut,Ulmaceae,Elm,Dutch Elm,Ulmus x holandica,ulmuxhol,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
79,elmeng,Ulmaceae,Elm,English Elm,Ulmus procera,ulmuproc,"Great Britain, Western Europe",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
80,elmjer,Ulmaceae,Elm,Jersey Elm,Ulmus carpinifolia,ulmucarp,"Europe, North Africa and Southwest Asia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
81,elmroc,Ulmaceae,Elm,Rock Elm,Ulmus thomasii,ulmuthom,"Southern Ontario, Central U.S.A.",introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,native,introduced,native,native,native,native,native,native,native,native,native,native,introduced,native,native,native,native,native,native
82,elmsco,Ulmaceae,Elm,Scotch Elm,Ulmus glabra,ulmuglab,"Europe, Western Asia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
