ID,species_code,family,genus,species,scientific_name,scientific_code,native,invasivity,seRegion,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
62,coteas,Salicaceae,Poplar,Eastern Cottonwood,Populus deltoides,popudelt,yes,non-invasive,introduced,100,species,decidous,"Central U.S.A., South Eastern Border of Canada",T,0.35,0.85
64,crajap,Rosaceae,Apple/Crabapple,Japanese Crabapple(s),Malus x floribunda,maluxflor,no,non-invasive,introduced,30,species,decidous,,T,0.5,0.85
65,crawil,Rosaceae,Apple/Crabapple,Wild Crab,Malus coronaria,malucoro,yes,non-invasive,introduced,30,species,decidous,"Southern Ontario, Eastern U.S.A.",T,0.5,0.85
66,cucumb,Magnoliaceae,Magnolia,Cucumber Tree,Magnolia acuminata,magnacum,yes,non-invasive,introduced,45,species,decidous,North America,T,0.7,0.79
67,dead,dead,dead,dead tree,dead,deaddead,n/a,n/a,n/a,,other,,,,,
68,devils,Araliaceae,Walkingstick,Devils-walkingstick,Aralia spinosa,aralspin,no,invasive,introduced,10,species,decidous,South Eastern U.S.A.,T,0.7,0.79
69,dogalt,Cornaceae,Dogwood,Alternate-Leaf Dogwood,Cornus alternifolia,cornalte,yes,non-invasive,native,15,species,decidous,North-Eastern US,T,0.7,0.79
70,dogchi,Cornaceae,Dogwood,Chinese Dogwood,Cornus kousa,cornkous,no,non-invasive,introduced,,species,decidous,Eastern Asia,T,0.7,0.79
289,dogcor,Cornaceae,Dogwood,Cornelian cherry dogwood,Cornus mas,cornmas,no,non-invasive,introduced,,species,decidous,,T,,
71,dogflo,Cornaceae,Dogwood,Eastern Flowering Dogwood,Cornus florida,cornflor,no,non-invasive,introduced,20,species,decidous,"Southern Ontario, Eastern U.S.A.",T,0.72,0.79
72,doggra,Cornaceae,Dogwood,Gray Dogwood,Cornus racemosa,cornrace,yes,non-invasive,introduced,,species,decidous,"Southern Ontario, Eastern U.S.A.",T,0.7,0.79
313,dogred,Cornaceae,Dogwood,Red Osier Dogwood,Cornus stolonifera,cornstol,yes,non-invasive,native,5,species,decidous,"Southern Ontario, Eastern U.S.A.",T,,
73,dogspp,Cornaceae,Dogwood,Dogwood species,Cornus spp,cornspp,n/a,n/a,n/a,,genus,decidous,,T,,0.79
75,eldspp,Sambucaceae,Sambucus sp.,Elder species,Sambucus spp,sambspp,n/a,n/a,n/a,,genus,decidous,,T,,0.7
76,elmame,Ulmaceae,Elm,American Elm,Ulmus americana,ulmuamer,yes,non-invasive,native,100,species,decidous,Eastern North America,T,0.59,0.87
77,elmcam,Ulmaceae,Elm,Camperdown Elm,Ulmus x vegata,ulmuxveg,no,non-invasive,introduced,,species,decidous,,T,0.55,0.86
314,elmchi,Ulmaceae,Elm,Chinese Elm,Ulmus parvifolia,ulmuparv,no,non-invasive,introduced,,species,decidous,Asia,T,0.35,
78,elmdut,Ulmaceae,Elm,Dutch Elm,Ulmus x holandica,ulmuxhol,no,non-invasive,introduced,150,species,decidous,,T,0.55,0.86
79,elmeng,Ulmaceae,Elm,English Elm,Ulmus procera,ulmuproc,no,non-invasive,introduced,90,species,decidous,"Great Britain, Western Europe",T,0.55,0.86
80,elmjer,Ulmaceae,Elm,Jersey Elm,Ulmus carpinifolia,ulmucarp,no,non-invasive,introduced,120,species,decidous,"Europe, North Africa and Southwest Asia",T,0.55,0.86
81,elmroc,Ulmaceae,Elm,Rock Elm,Ulmus thomasii,ulmuthom,yes,non-invasive,native,75,species,decidous,"Southern Ontario, Central U.S.A.",T,0.55,0.86
82,elmsco,Ulmaceae,Elm,Scotch Elm,Ulmus glabra,ulmuglab,no,non-invasive,introduced,75,species,decidous,"Europe, Western Asia",T,0.55,0.86
83,elmsib,Ulmaceae,Elm,Siberian Elm,Ulmus pumila,ulmupumi,no,non-invasive,introduced,70,species,decidous,Northeastern Asia,T,0.39,0.85
84,elmsli,Ulmaceae,Elm,Slippery Elm,Ulmus rubra,ulmurubr,yes,non-invasive,introduced,60,species,decidous,"Southern Ontario & Quebec, Central -Eastern U.S.A.",T,0.6,0.86
85,elmspp,Ulmaceae,Elm,Elm species,Ulmus spp,ulmuspp,n/a,n/a,n/a,,genus,decidous,,T,,0.86
86,euoeur,Celastraceae,Spindletree,European Euonymus,Euonymus europaeus,euoneuro,no,non-invasive,introduced,,species,decidous,Europe,T,0.5,0.79
87,euospp,Celastraceae,Spindletree sp.,Euonymus species,Euonymus spp,euonspp,n/a,n/a,n/a,,genus,decidous,,T,,0.7
88,firbal,Pinaceae,Fir,Balsam Fir,Abies balsamea,abiebals,yes,non-invasive,native,50,species,evergreen,Central and Eastern Canada,T,0.48,0.79
89,firdou,Pinaceae,Douglas Fir,Douglas Fir,Pseudotsuga menziesii,pseumenz,no,non-invasive,introduced,90,species,evergreen,Weatern North America,T,0.7,0.79
90,firfra,Pinaceae,Fir,Fraser Fir,Abies fraseri,abiefras,no,non-invasive,introduced,,species,evergreen,"North America: West Virginia, Tennessee, and North Carolina",T,0.7,0.79
91,firgra,Pinaceae,Fir,Grand Fir,Abies grandis,abiegran,no,non-invasive,introduced,90,species,evergreen,"North America: Coastal and interior forests of Southern British Columbia,  Coastal and interior forest of Western  USA",T,0.65,0.79
92,firspp,Pinaceae,Fir,Fir species,Abies spp,abiespp,n/a,n/a,n/a,,genus,evergreen,,T,,0.79
93,firwhi,Pinaceae,Fir,White Fir,Abies concolor,abieconc,no,non-invasive,introduced,40,species,evergreen,"Western USA, Northern Mexico",T,0.76,0.79
94,flodou,Rosaceae,Cherry/Plum,Double Flowering Plum,Prunus triloba,pruntril,no,non-invasive,introduced,,species,decidous,,T,0.55,0.79
95,forest,forest,forest,forest,forest,forest,n/a,n/a,n/a,,other,,,,,
96,ginkgo,Ginkgoaceae,Ginkgo,Ginkgo,Ginkgo biloba,ginkbilo,no,non-invasive,introduced,80,species,decidous,China,T,0.65,0.81
97,golcha,Fabaceae,Laburnum,Goldenchain Tree,Laburnum anagyroides,labuanag,no,non-invasive,introduced,,species,decidous,,T,0.65,0.79
98,gumbla,Nyssaceae,Gum,Black Gum,Nyssa sylvatica,nysssylv,yes,non-invasive,introduced,,species,decidous,Eeastern North America,T,0.7,0.79
99,hacber,Ulmaceae,Hackberry,Hackberry,Celtis occidentalis,celtocci,yes,non-invasive,native,50,species,decidous,"Southern Ontario, Quebec, USA",T,0.66,0.88
100,hawcoc,Rosaceae,Hawthorn,Cockspur Hawthorn,Crataegus crus-galli,cratcrus,yes,invasive,introduced,,species,decidous,"Southern Quebec, Ontario, Eastern USA",T,0.6,0.88
101,hawdow,Rosaceae,Hawthorn,Downy Hawthorn,Crataegus molis,cratmoli,no,non-invasive,introduced,,species,decidous,Central USA,T,0.6,0.88
102,haweng,Rosaceae,Hawthorn,English Hawthorn,Crataegus oxyacantha,cratoxya,no,non-invasive,introduced,30,species,decidous,Europe,T,0.6,0.86
103,hawlav,Rosaceae,Hawthorn,Lavalle Hawthorn,Crataegus  x  lavallei,cratxlav,no,non-invasive,introduced,,species,decidous,,T,0.6,0.89
290,hawsca,Rosaceae,Hawthorn,Scarlet Hawthorn,Crataegus coccinea,cratcocc,no,non-invasive,introduced,,species,decidous,,T,,
104,hawsin,Rosaceae,Hawthorn,Singleseed Hawthorne,Crataegus monogyna,cratmono,no,non-invasive,introduced,,species,decidous,Europe,T,0.6,0.88
105,hawspp,Rosaceae,Hawthorn,Hawthorn species,Crataegus spp,cratspp,n/a,n/a,n/a,,genus,decidous,,T,,0.88
106,haznut,Betulaceae,Hazel,Hazel Nuts,Corylus americana,coryamer,yes,non-invasive,introduced,30,species,decidous,"Eastern North America: Canada, USA",T,0.8,0.79
107,haztur,Betulaceae,Hazel,Turkish Hazelnut,Corylus colurna,corycolu,no,non-invasive,introduced,30,species,decidous,"Southeastern Europe, Western Asis",T,0.75,0.79
108,hazwit,Hamamelidaceae,Witch hazel,Witch hazel,Hamamelis virginiana,hamavirg,yes,non-invasive,introduced,15,species,decidous,North America,T,0.7,0.79
109,hedge,hedge,hedge,hedge,hedge,hedg,n/a,n/a,n/a,,other,,,,,
110,hemeas,Pinaceae,Hemlock,Eastern Hemlock,Tsuga canadensis,tsugcana,yes,non-invasive,native,100,species,evergreen,Eastern Canada,T,0.69,0.79
111,hicbit,Juglandaceae,Hickory,Bitternut Hickory,Carya cordiformis,carycord,yes,non-invasive,native,50,species,decidous,"southern Ontario & Quebec, Central-Eastern USA",T,0.75,0.77
112,hicpig,Juglandaceae,Hickory,Pignut Hickory,Carya glabra,caryglab,yes,non-invasive,introduced,50,species,decidous,"Maine to Southern Ontario, South to Florida, Alabama and Mississippi",T,0.75,0.77
113,hicsha,Juglandaceae,Hickory,Shagbark Hickory,Carya ovata,caryovat,yes,non-invasive,native,60,species,decidous,"Southern Ontario along the St. Lawrence River to Quebec, USA",T,0.75,0.77
114,hicshe,Juglandaceae,Hickory,Big Shellbark Hickory,Carya laciniosa,carylaci,yes,non-invasive,introduced,90,species,decidous,"Southern Tip of Ontario, Central USA",T,0.75,0.77
115,hicspp,Juglandaceae,Hickory,Hickory species,Carya spp,caryspp,n/a,n/a,n/a,,genus,decidous,,T,,0.77
116,holly,Aquifoliaceae,holly,holly,Ilex spp,ilexspp,n/a,non-invasive,introduced,,species,,,T,,
300,honfly,Caprifoliaceae,Honeysuckle,Fly Honeysuckle,Lonicera canadensis,lonicana,yes,non-invasive,introduced,,species,decidous,,T,,
117,honspp,Caprifoliaceae,Lonicera,Honeysuckle species,Lonicera spp,lonispp,n/a,n/a,n/a,,genus,decidous,,T,,
118,hoptre,Rutaceae,Hop,Hope Tree,Ptelea trifoliata,pteltrif,yes,non-invasive,introduced,,species,decidous,"Southwestern Ontario, USA",T,0.6,0.79
119,horcom,Hippocastanaceae,Buckeye/Horsechestnut,Common Horsechestnut,Aesculus hippocastanum,aeschipp,no,non-invasive,introduced,70,species,decidous,Balkan Peninsula in Southeastern Europe,T,0.63,0.88
120,horeur,Betulaceae,Ironwood-Hornbeam,European Hornbeam,Carpinus betulus,carpbetu,no,non-invasive,introduced,50,species,decidous,"Europe, Asia Minor, Southeast of England",T,0.7,0.79
121,horred,Hippocastanaceae,Buckeye/Horsechestnut,Red Horsechestnut,Aesculus x carnea,aescxcar,no,non-invasive,introduced,45,species,decidous,Hybrid origin,T,0.65,0.88
122,horspp,Betulaceae,Ironwood-Hornbeam,Hornbeam Species,Carpinus spp,carpspp,n/a,n/a,n/a,,genus,decidous,,T,,
123,hybpop,Salicaceae,Poplar,Poplar hybrid,Populus x hybida,popuxhyb,n/a,non-invasive,introduced,30,species,decidous,,T,0.3,0.8
124,ironwo,Betulaceae,Ironwood,Ironwood,Ostrya virginiana,ostrvirg,yes,non-invasive,native,30,species,decidous,North-Eastern US,T,0.62,0.79
304,jappag,Fabaceae,Sophora,Japanese Pagoda Tree,Sophora japonica,sophjapo,no,non-invasive,introduced,,species,decidous,,T,,
125,junchi,Cupressaceae,Juniper,Chinese Juniper,Juniperus chinensis,junichin,no,non-invasive,introduced,,species,evergreen,China,T,0.6,0.79
301,juncom,Cupressaceae,Juniper,Common juniper,Juniperus communis,junicomm,no,non-invasive,introduced,,species,evergreen,,T,,
302,juncre,Cupressaceae,Juniper,Creeping Juniper,Juniperus horizontalis,junihori,no,non-invasive,introduced,,species,evergreen,,T,,
126,junsav,Cupressaceae,Juniper,Savin Juniper,Juniperus sabina,junisabi,no,non-invasive,introduced,,species,evergreen,,T,0.6,0.79
127,junspp,Cupressaceae,Juniper,Juniper species,Juniper spp,junispp,n/a,n/a,n/a,,genus,evergreen,,,,0.79
128,kalopa,Araliaceae,Kalopanax,Kalopanax,Kalopanax pictus,kalopict,no,non-invasive,introduced,,species,decidous,"China, Manchuria, and Japan",T,0.7,0.79
129,katsur,Cercidiphyllaceae,Katsura,Katsura Tree,Cercidiphyllum japonicum,cercjapo,no,non-invasive,introduced,,species,decidous,"China, Japan",T,0.73,0.79
130,lareuo,Pinaceae,Larch,Euopean Larch,Larix decidua,larideci,no,non-invasive,introduced,80,species,decidous,Europe,T,0.7,0.79
131,larjap,Pinaceae,Larch,Japanese Larch,Larix leptolepis,larilept,no,non-invasive,introduced,,species,decidous,,T,0.7,0.79
132,larspp,Pinaceae,Larch,Larch species,Larix spp,larispp,n/a,n/a,n/a,,genus,decidous,,,,0.79
133,lilcom,Oleaceae,Lilac,Common Lilac,Syringa vulgaris,syrivulg,no,non-invasive,introduced,10,species,decidous,Southeast Europe,T,0.8,0.79
134,liljap,Oleaceae,Lilac,Japanese Tree Lilac,Syringa reticulata,syrireti,no,non-invasive,introduced,20,species,decidous,Japan,T,0.81,0.79
135,lilspp,Oleaceae,Lilac,Lilac species,Syringa spp,syrispp,n/a,n/a,n/a,,genus,decidous,,,,0.79
136,linbig,Tiliaceae,Linden-Basswood,Bigleaf Linden,Tilia platyphyllos,tiliplat,no,non-invasive,introduced,,species,decidous,Europe,T,0.6,0.88
137,lineur,Tiliaceae,Linden-Basswood,European Linden,Tilia x europaea,tilixeur,no,non-invasive,introduced,,species,decidous,,T,0.6,0.88
138,linhyb,Tiliaceae,Linden-Basswood,Hybrid Little-Leaf Linden,Tilia x flavescens,tilixfla,no,non-invasive,introduced,,species,decidous,,T,0.6,0.88
139,linlit,Tiliaceae,Linden-Basswood,Little-Leaf Linden,Tilia cordata,tilicord,no,non-invasive,introduced,60,species,decidous,Europe,T,0.7,0.88
140,linsil,Tiliaceae,Linden-Basswood,Silver Linden,Tilia tomentosa,tilitome,no,non-invasive,introduced,,species,decidous,"Southeast Asia, Asia",T,0.6,0.88
141,linspp,Tiliaceae,Linden-Basswood,Linden species,Tilia spp,tilispp,n/a,n/a,n/a,,genus,decidous,,,,0.88
142,locbla,Fabaceae,Black Locust,Black Locust,Robinia pseudoacacia,robipseu,no,invasive,introduced,60,species,decidous,Eastern US,T,0.56,0.79
143,lochon,Fabaceae,Honey Locust,Honey Locust,Gleditsia triacanthos,gledtria,no,non-invasive,introduced,80,species,decidous,North America: Carolinian and surrounding areas,T,0.66,0.67
144,magsau,Magnoliaceae,Magnolia,Saucer Magnolia,Magnolia  x  soulangeana,magnxsou,no,non-invasive,introduced,,species,decidous,,T,0.7,0.79
145,magspp,Magnoliaceae,Magnolia,Magnolia species,Magnolia spp,magnspp,n/a,n/a,n/a,,genus,decidous,,,,0.79
146,magsta,Magnoliaceae,Magnolia,Star Magnolia,Magnolia stellata,magnstel,no,non-invasive,introduced,,species,decidous,,T,0.7,0.79
147,magumb,Magnoliaceae,Magnolia,Umbrella Magnolia,Magnolia tripetala,magntrip,no,non-invasive,introduced,,species,decidous,Pennsylvania to Alabama and Mississippi,T,0.7,0.79
148,mapamu,Aceraceae,Maple,Amur Maple,Acer ginnala,acerginn,no,non-invasive,introduced,20,species,decidous,Eastern Asia,T,0.63,0.91
149,mapbla,Aceraceae,Maple,Black Maple,Acer saccharum ssppnigrum,acersacc,yes,non-invasive,introduced,90,species,decidous,,T,0.85,0.86
150,mapfre,Aceraceae,Maple,Freman Maple,Acer x freemanii,acerxfre,yes,non-invasive,native,40,species,decidous,hybrid,T,0.8,0.86
151,maphed,Aceraceae,Maple,Hedge Maple,Acer campestre,acercamp,no,non-invasive,introduced,,species,decidous,"Europe, Northern Turkey, Caucasus, Northern Iran",T,0.68,0.86
152,mapjap,Aceraceae,Maple,Japanese Maple,Acer palmatum,acerpalm,no,non-invasive,introduced,20,species,decidous,Eastern Asia,T,0.77,0.86
153,mapman,Aceraceae,Maple,Manitoba Maple,Acer negundo,acernegu,no,invasive,introduced,70,species,decidous,Naturalized beyond  its natural range.,T,0.38,0.86
154,mapmou,Aceraceae,Maple,Mountain Maple,Acer spicatum,acerspic,yes,non-invasive,introduced,15,species,decidous,"New Foundland South to Northern Georgia, West to East Saskatchewan, Northeast to Minnesota",T,0.65,0.86
155,mapnor,Aceraceae,Maple,Norway Maple,Acer platanoides,acerplat,no,invasive,introduced,60,species,decidous,Europe,T,0.68,0.88
303,mappap,Aceraceae,Maple,Paperbark Maple,Acer griseum,acergris,no,non-invasive,introduced,,species,decidous,,T,0.65,
156,mapred,Aceraceae,Maple,Red Maple,Acer rubrum,acerrubr,yes,non-invasive,native,60,species,decidous,South-Eastern US,T,0.65,0.83
157,mapsil,Aceraceae,Maple,Silver Maple,Acer saccharinum,acersacc,yes,non-invasive,native,100,species,decidous,North America,T,0.61,0.83
158,mapspp,Aceraceae,Maple,Maple species,Acer spp,acerspp,n/a,n/a,n/a,,genus,decidous,,,,0.86
159,mapstr,Aceraceae,Maple,Striped Maple,Acer pensylvanicum,acerpens,yes,non-invasive,native,,species,decidous,"Quebec to Wisconsin, South to Northern Georgia; United States",T,0.4,0.86
160,mapsug,Aceraceae,Maple,Sugar Maple,Acer saccharum,acersacr,yes,non-invasive,native,90,species,decidous,"Maritime provinces, Southern Ontario and Quebec.",T,0.78,0.84
